Iteration,Epoch,Training Loss,Training Accuracy,Test Accuracy,Gradient Norm
0,1,0.1104188755750656,0.444,0.485,1.0000699580226118
1,1,0.1104188755750656,0.444,0.485,0.5241838389928629
2,1,0.1104188755750656,0.444,0.485,0.6773987504016958
3,1,0.1104188755750656,0.444,0.485,0.6888562764328686
4,1,0.1104188755750656,0.444,0.485,0.5433423860671127
5,1,0.1104188755750656,0.444,0.485,0.8551121188417605
6,1,0.1104188755750656,0.444,0.485,0.5522230088442278
7,1,0.1104188755750656,0.444,0.485,0.5946915128306036
8,1,0.1104188755750656,0.444,0.485,0.7160106935324158
9,1,0.1104188755750656,0.444,0.485,0.3089059092671056
10,1,0.1104188755750656,0.444,0.485,0.6756690212702778
11,1,0.1104188755750656,0.444,0.485,0.532444774875028
12,1,0.1104188755750656,0.444,0.485,0.5302785691515185
13,1,0.1104188755750656,0.444,0.485,0.3965732234613265
14,1,0.1104188755750656,0.444,0.485,0.27712890984814936
15,1,0.1104188755750656,0.444,0.485,0.31111964730502256
16,1,0.1104188755750656,0.444,0.485,0.35991865397165024
17,1,0.1104188755750656,0.444,0.485,0.5706034600717647
18,1,0.1104188755750656,0.444,0.485,0.11267987721306513
19,1,0.1104188755750656,0.444,0.485,0.1545545325401947
20,1,0.1104188755750656,0.444,0.485,0.31283389910509585
21,1,0.1104188755750656,0.444,0.485,0.06353702297273105
22,1,0.1104188755750656,0.444,0.485,0.34334250339570416
23,1,0.1104188755750656,0.444,0.485,0.06278551423819588
24,1,0.1104188755750656,0.444,0.485,0.09775882318714783
25,1,0.1104188755750656,0.444,0.485,0.07314409613200641
26,1,0.1104188755750656,0.444,0.485,0.1607546506219915
27,1,0.1104188755750656,0.444,0.485,0.259831907289557
28,1,0.1104188755750656,0.444,0.485,0.43210439902102454
29,1,0.1104188755750656,0.444,0.485,0.24289092715346347
30,1,0.1104188755750656,0.444,0.485,0.10291943243797187
31,1,0.1104188755750656,0.444,0.485,0.13409510748438772
32,2,0.07753225120902062,0.49,0.555,0.10187617294232426
33,2,0.07753225120902062,0.49,0.555,0.12723601291554007
34,2,0.07753225120902062,0.49,0.555,0.17976051515114863
35,2,0.07753225120902062,0.49,0.555,0.20604940371773547
36,2,0.07753225120902062,0.49,0.555,0.15340904337456787
37,2,0.07753225120902062,0.49,0.555,0.2237415618736533
38,2,0.07753225120902062,0.49,0.555,0.1207147075774127
39,2,0.07753225120902062,0.49,0.555,0.23463906326490946
40,2,0.07753225120902062,0.49,0.555,0.11120289874037355
41,2,0.07753225120902062,0.49,0.555,0.10729913306935586
42,2,0.07753225120902062,0.49,0.555,0.22950305014010278
